Token(type=IDENTIFIER, lexeme='full', literal=null, pos=Pos(guest_program/01_hello_world.dm,18,9))
Token(type=EQUAL, lexeme='=', literal=null, pos=Pos(guest_program/01_hello_world.dm,18,14))
Token(type=IDENTIFIER, lexeme='first', literal=null, pos=Pos(guest_program/01_hello_world.dm,18,16))
Token(type=PLUS, lexeme='+', literal=null, pos=Pos(guest_program/01_hello_world.dm,18,22))
Token(type=STRING_LITERAL, lexeme='" "', literal= , pos=Pos(guest_program/01_hello_world.dm,18,24))
Token(type=PLUS, lexeme='+', literal=null, pos=Pos(guest_program/01_hello_world.dm,18,28))
Token(type=IDENTIFIER, lexeme='second', literal=null, pos=Pos(guest_program/01_hello_world.dm,18,30))
Token(type=IDENTIFIER, lexeme='displayLn', literal=null, pos=Pos(guest_program/01_hello_world.dm,19,5))
Token(type=LEFT_PAREN, lexeme='(', literal=null, pos=Pos(guest_program/01_hello_world.dm,19,14))
Token(type=IDENTIFIER, lexeme='full', literal=null, pos=Pos(guest_program/01_hello_world.dm,19,15))
Token(type=RIGHT_PAREN, lexeme=')', literal=null, pos=Pos(guest_program/01_hello_world.dm,19,19))
Token(type=IDENTIFIER, lexeme='displayLn', literal=null, pos=Pos(guest_program/01_hello_world.dm,22,5))
Token(type=LEFT_PAREN, lexeme='(', literal=null, pos=Pos(guest_program/01_hello_world.dm,22,14))
Token(type=STRING_LITERAL, lexeme='"Welcome to "', literal=Welcome to , pos=Pos(guest_program/01_hello_world.dm,22,15))
Token(type=PLUS, lexeme='+', literal=null, pos=Pos(guest_program/01_hello_world.dm,22,29))
Token(type=STRING_LITERAL, lexeme='"Darim"', literal=Darim, pos=Pos(guest_program/01_hello_world.dm,22,31))
Token(type=PLUS, lexeme='+', literal=null, pos=Pos(guest_program/01_hello_world.dm,22,39))
Token(type=STRING_LITERAL, lexeme='" v1.0"', literal= v1.0, pos=Pos(guest_program/01_hello_world.dm,22,41))
Token(type=RIGHT_PAREN, lexeme=')', literal=null, pos=Pos(guest_program/01_hello_world.dm,22,48))
Token(type=VAR, lexeme='var', literal=null, pos=Pos(guest_program/01_hello_world.dm,25,5))
Token(type=IDENTIFIER, lexeme='version', literal=null, pos=Pos(guest_program/01_hello_world.dm,25,9))
Token(type=COLON, lexeme=':', literal=null, pos=Pos(guest_program/01_hello_world.dm,25,16))
Token(type=NUM, lexeme='num', literal=null, pos=Pos(guest_program/01_hello_world.dm,25,18))
Token(type=EQUAL, lexeme='=', literal=null, pos=Pos(guest_program/01_hello_world.dm,25,22))
Token(type=NUMBER_LITERAL, lexeme='1', literal=1, pos=Pos(guest_program/01_hello_world.dm,25,24))
Token(type=VAR, lexeme='var', literal=null, pos=Pos(guest_program/01_hello_world.dm,26,5))
Token(type=IDENTIFIER, lexeme='msg', literal=null, pos=Pos(guest_program/01_hello_world.dm,26,9))
Token(type=EQUAL, lexeme='=', literal=null, pos=Pos(guest_program/01_hello_world.dm,26,13))
Token(type=STRING_LITERAL, lexeme='"Version: "', literal=Version: , pos=Pos(guest_program/01_hello_world.dm,26,15))
Token(type=PLUS, lexeme='+', literal=null, pos=Pos(guest_program/01_hello_world.dm,26,27))
Token(type=IDENTIFIER, lexeme='version', literal=null, pos=Pos(guest_program/01_hello_world.dm,26,29))
Token(type=IDENTIFIER, lexeme='displayLn', literal=null, pos=Pos(guest_program/01_hello_world.dm,27,5))
Token(type=LEFT_PAREN, lexeme='(', literal=null, pos=Pos(guest_program/01_hello_world.dm,27,14))
Token(type=IDENTIFIER, lexeme='msg', literal=null, pos=Pos(guest_program/01_hello_world.dm,27,15))
Token(type=RIGHT_PAREN, lexeme=')', literal=null, pos=Pos(guest_program/01_hello_world.dm,27,18))
Token(type=VAR, lexeme='var', literal=null, pos=Pos(guest_program/01_hello_world.dm,30,5))
Token(type=IDENTIFIER, lexeme='greeting', literal=null, pos=Pos(guest_program/01_hello_world.dm,30,9))
Token(type=EQUAL, lexeme='=', literal=null, pos=Pos(guest_program/01_hello_world.dm,30,18))
Token(type=STRING_LITERAL, lexeme='"Hello"', literal=Hello, pos=Pos(guest_program/01_hello_world.dm,30,20))
Token(type=IDENTIFIER, lexeme='greeting', literal=null, pos=Pos(guest_program/01_hello_world.dm,31,5))
Token(type=EQUAL, lexeme='=', literal=null, pos=Pos(guest_program/01_hello_world.dm,31,14))
Token(type=IDENTIFIER, lexeme='greeting', literal=null, pos=Pos(guest_program/01_hello_world.dm,31,16))
Token(type=PLUS, lexeme='+', literal=null, pos=Pos(guest_program/01_hello_world.dm,31,25))
Token(type=STRING_LITERAL, lexeme='", "', literal=, , pos=Pos(guest_program/01_hello_world.dm,31,27))
Token(type=IDENTIFIER, lexeme='greeting', literal=null, pos=Pos(guest_program/01_hello_world.dm,32,5))
Token(type=EQUAL, lexeme='=', literal=null, pos=Pos(guest_program/01_hello_world.dm,32,14))
Token(type=IDENTIFIER, lexeme='greeting', literal=null, pos=Pos(guest_program/01_hello_world.dm,32,16))
Token(type=PLUS, lexeme='+', literal=null, pos=Pos(guest_program/01_hello_world.dm,32,25))
Token(type=STRING_LITERAL, lexeme='"World"', literal=World, pos=Pos(guest_program/01_hello_world.dm,32,27))
Token(type=IDENTIFIER, lexeme='greeting', literal=null, pos=Pos(guest_program/01_hello_world.dm,33,5))
Token(type=EQUAL, lexeme='=', literal=null, pos=Pos(guest_program/01_hello_world.dm,33,14))
Token(type=IDENTIFIER, lexeme='greeting', literal=null, pos=Pos(guest_program/01_hello_world.dm,33,16))
Token(type=PLUS, lexeme='+', literal=null, pos=Pos(guest_program/01_hello_world.dm,33,25))
Token(type=STRING_LITERAL, lexeme='"!"', literal=!, pos=Pos(guest_program/01_hello_world.dm,33,27))
Token(type=IDENTIFIER, lexeme='displayLn', literal=null, pos=Pos(guest_program/01_hello_world.dm,34,5))
Token(type=LEFT_PAREN, lexeme='(', literal=null, pos=Pos(guest_program/01_hello_world.dm,34,14))
Token(type=IDENTIFIER, lexeme='greeting', literal=null, pos=Pos(guest_program/01_hello_world.dm,34,15))
Token(type=RIGHT_PAREN, lexeme=')', literal=null, pos=Pos(guest_program/01_hello_world.dm,34,23))
Token(type=RIGHT_BRACE, lexeme='}', literal=null, pos=Pos(guest_program/01_hello_world.dm,35,1))
Token(type=EOF, lexeme='', literal=null, pos=Pos(guest_program/01_hello_world.dm,35,1))



